Body_Type,Ex-Showroom_Price,ev_price
Hatchback,754935.1582278481,29065999.15625
MPV,1316294.2307692308,34907698.0
SUV,4255617.217002237,44967450.266666666
Sedan,3892962.114114114,83272427.7
